file_name,function_name,complexity,tokens,triaged_out,model,llm_latency_s,verification_latency_s,verdict,orig_instrs,final_instrs,reduction_pct
not.bc,unknown_failed_module,,,False,error,,,error,0,0,0.0
timeit.bc,main,36,12208,False,ollama/qwen2.5-coder:7b,66.707,,syntax_fail,378,378,0.0
timeit.bc,streq,1,5529,True,,,,pending,10,10,0.0
timeit.bc,usage,1,6801,True,,,,pending,44,44,0.0
timeit.bc,execute,3,6065,True,,,,pending,41,41,0.0
timeit.bc,terminate_handler,2,5788,True,,,,pending,20,20,0.0
timeit.bc,timeout_handler,1,5595,True,,,,pending,11,11,0.0
timeit.bc,sample_wall_time,1,5630,True,,,,pending,12,12,0.0
timeit.bc,execute_target_process,27,9405,False,ollama/qwen2.5-coder:7b,59.776,,syntax_fail,219,219,0.0
timeit.bc,monitor_child_process,18,9582,False,ollama/qwen2.5-coder:7b,113.22,,syntax_fail,224,224,0.0
timeit.bc,set_resource_limit_actual,3,6235,True,,,,pending,43,43,0.0
fpcmp.bc,load_file,7,5500,False,ollama/qwen2.5-coder:3b,,,pending,98,98,0.0
fpcmp.bc,diff_file,25,9400,False,ollama/qwen2.5-coder:7b,106.508,,syntax_fail,328,328,0.0
fpcmp.bc,skip_whitespace,3,4236,True,,,,pending,32,32,0.0
fpcmp.bc,isPossibleStartOfNumber,3,3963,True,,,,pending,14,14,0.0
fpcmp.bc,AdvanceNumber,16,5937,False,ollama/qwen2.5-coder:3b,,,pending,130,130,0.0
fpcmp.bc,CompareNumbers,17,8220,False,ollama/qwen2.5-coder:7b,141.849,,syntax_fail,262,262,0.0
fpcmp.bc,dump_inputs,1,3844,True,,,,pending,9,9,0.0
fpcmp.bc,usage,1,3857,True,,,,pending,7,7,0.0
fpcmp.bc,main,11,6780,False,ollama/qwen2.5-coder:3b,,,pending,174,174,0.0
fpcmp.bc,isspace,1,3794,True,,,,pending,5,5,0.0
fpcmp.bc,__istype,2,4211,True,,,,pending,30,30,0.0
fpcmp.bc,isascii,1,3807,True,,,,pending,7,7,0.0
fpcmp.bc,isDigitChar,2,4015,True,,,,pending,12,12,0.0
fpcmp.bc,isSignedChar,2,3895,True,,,,pending,12,12,0.0
fpcmp.bc,isExponentChar,2,3937,True,,,,pending,12,12,0.0
fpcmp.bc,dump_input,2,4032,True,,,,pending,17,17,0.0
fpcmp.bc,contains_non_printable_characters,5,4587,False,ollama/qwen2.5-coder:3b,,,pending,52,52,0.0
fpcmp.bc,isprint,1,3794,True,,,,pending,5,5,0.0
CMakeCCompilerId.bc,main,1,1605,True,,,,pending,64,64,0.0
CMakeCXXCompilerId.bc,main,1,1611,True,,,,pending,63,63,0.0
fbench.bc,main,12,9272,False,ollama/qwen2.5-coder:7b,134.099,,syntax_fail,290,290,0.0
fbench.bc,trace_line,4,4588,True,,,,pending,84,84,0.0
fbench.bc,transit_surface,8,5994,False,ollama/qwen2.5-coder:3b,,,pending,183,183,0.0
flops-1.bc,main,2,4496,True,,,,pending,154,154,0.0
richards_benchmark.bc,createtask,1,2901,True,,,,pending,59,59,0.0
richards_benchmark.bc,pkt,2,2727,True,,,,pending,47,47,0.0
